race_id,rosberg,hamilton,ricciardo,vettel,max_verstappen,raikkonen,perez,bottas,hulkenberg,alonso,massa,sainz,grosjean,kvyat,button,kevin_magnussen,nasr,jolyon_palmer,wehrlein,vandoorne,gutierrez,ericsson,ocon,haryanto
albert_park_2016,1626.6442221439072,1637.4359198125876,1348.8552488567464,1442.1675055465378,1111.604781366216,1036.280659419091,1155.6083635866066,1212.7065050384672,1280.4243680746406,748.2800381377826,1237.1240073544777,1110.745018709674,1250.066725950994,894.2145895748274,1027.8902169387056,1012.5812499975317,955.5323789394706,1077.8884842260666,956.1093585366868,,848.7473611091015,894.9550464076547,,884.2065633383323
bahrain_2016,1676.809157941657,1629.4310597421138,1417.15372468173,1025.4512171762,1255.0008448590934,1289.3249564125583,1027.271894350637,1231.8070883441867,1100.2521050189698,,1268.2576123780177,964.5143533020544,1346.1184134309465,1128.3352087537671,873.8342134161798,1093.2661249497457,982.865718502064,858.0272828968226,1014.7086606645184,1115.959024916437,812.9390779278451,1009.9417536726698,,880.519081590109
shanghai_2016,1716.4146806320248,1511.7212752475696,1452.2160452166231,1277.7633193456943,1267.349854300379,1347.724648056595,1094.4533278187528,1208.7316129904546,1032.9254272086735,927.172778792462,1308.8275180863927,1093.3346507181175,1027.2038350152668,1302.6035172959812,967.4389448328526,966.5050529724117,842.9796693847907,724.1003456152965,914.5943815764547,,916.6790916210848,965.0184293022525,,768.3511821195368
sochi_2016,1747.9891352324225,1568.3211573854715,1287.4690410645428,973.6699421346251,993.5812263835736,1450.1527982559217,1169.9802914966317,1345.5193066442669,858.4963831885509,1158.6461603474463,1369.4147026554213,1100.1179611912935,1150.7097940222486,1108.3369042814556,1081.9619235523303,1146.057881570771,869.1873844842451,882.518048724045,842.9738433393267,,875.1925767827896,978.9355226705011,,674.8776027417869
catalunya_2016,1163.0817943792601,1090.6958868200668,1400.9926732670167,1253.013421477801,1294.4214004628407,1523.208136054288,1257.6394807481495,1390.255361180649,775.5328903119164,935.4887050997994,1335.8856508500694,1253.1188868134711,956.7953661906541,1169.64192078591,1180.7764936756619,1067.2624889869253,918.5930429917412,975.6181400763038,875.5136189529563,,1029.602535448978,1045.1923929451264,,741.7793006300814
monaco_2016,1258.3074821466275,1337.6862037074654,1480.5987779481943,1353.062056668659,1023.584303948843,1062.8276169557041,1388.354744582432,1240.7529045434515,1090.3175902033763,1184.918197334617,1255.9011431961806,1270.095516195411,1018.4730997424243,927.9821739014973,1215.533068945806,914.3511214454775,892.4171532138537,812.2194386003692,966.0527132267624,,1105.1695264988696,978.7161948363073,,856.7885603073378
villeneuve_2016,1343.2743398854284,1466.7329346079955,1414.293825932538,1452.590708099646,1239.6874862331542,1219.0106475425941,1284.5022874141625,1360.134686645487,1190.2937857978777,1167.1960515103092,954.712624612156,1254.7355664573386,1025.0688841870897,1032.2568101662273,892.4865668877461,924.3405360471406,858.9356661990146,735.3325144768211,925.7332689798016,,1097.561539181975,985.0095956752361,,810.2192616099259
baku_2016,1478.6147874932426,1455.3153453535426,1381.148414728012,1522.3800816042367,1272.4794311436522,1339.4225989533682,1395.0408675066767,1367.3333676087796,1219.5929035169852,940.842699855428,1085.423875141082,930.846843280317,1051.7175715528806,820.2416500423886,1038.9461601711305,978.7020205060562,989.1363338366829,843.8292164308716,804.6691235674786,,999.571577967442,919.2331543467111,,799.6215635427005
red_bull_ring_2016,1496.4265405785313,1554.4869898495986,1414.573747916837,1049.7394838878124,1424.7879314289842,1435.999671496387,1083.5841229371715,1308.3389371471915,973.419379441598,872.7898670252829,907.2303204996549,1129.065579888391,1206.9381557734935,726.9428918866266,1223.7671203473296,991.2840349368286,1021.6054154108667,976.4120070043172,1009.5436147454454,,1071.161499048615,923.7123800033962,,832.2998968953059
silverstone_2016,1530.1873213717954,1619.226513009185,1454.5845871608842,1153.5623368019649,1503.086557183417,1439.4633090565335,1224.8548718079567,1156.3175577905727,1148.6841622784607,969.1551520896337,1026.0336179328249,1191.3009337886645,935.2475380066239,954.1245029300217,1146.5283294546666,921.8318667423963,991.4887946161336,889.6946258674143,795.4274571478056,,994.3650137847216,790.3723694372684,,798.5721698907206
hungaroring_2016,1583.788576982392,1671.4833097196515,1506.7070464565338,1303.31775722698,1484.9867698370786,1421.0198028200448,1186.2170347972299,1194.1375609943366,1168.2977610197183,1139.7156747938793,909.2267646710914,1231.3309799326714,961.2956235583223,922.0865011054772,851.0433547889403,938.5361450587725,923.7775007307666,1000.1598474801341,770.0104651707285,,1021.7160460479336,735.3459407327184,,709.9091242242654
hockenheimring_2016,1574.9291213226822,1719.2956980287213,1572.759027641613,1373.3254253701375,1529.817079249308,1417.5480226792251,1187.81667645416,1212.052189242555,1247.1578605613463,1107.4082883909286,735.1376114667029,1110.882085542218,1003.2992779645986,937.7197267383752,1052.6728390151284,915.3332436051157,763.301012233877,865.6021291048174,803.7466945657607,,1081.8469340218182,749.035661152067,,673.4229837985082
spa_2016,1654.060435503371,1705.929973740933,1626.1410627667112,1393.3035903508735,1358.505555076306,1348.7592181297487,1312.850203108383,1257.010591682251,1368.7802967735383,1218.6254626098314,952.5577999868543,889.2301847441372,1028.617069419484,970.4332673820768,841.2712310896682,853.9307140842427,796.5436083890959,911.6736496627916,686.7425448574363,,1101.0480583091717,731.914987114521,952.7570995697303,
monza_2016,1714.6674005171215,1726.244290595899,1586.64026568616,1485.8828614372505,1368.056752294119,1431.5605175190221,1316.8083972130025,1329.4214925981114,1295.0802978522152,1109.4531593517065,1093.0117004726005,917.6312427794506,1087.2114762697825,846.4529998471595,961.4841774539434,839.3441761351008,669.9217720421369,765.2886101658834,664.9014681153097,,1078.9315428946213,803.120735720953,869.571267389607,
marina_bay_2016,1765.5612479851904,1719.1495397719234,1644.5228560070082,1500.108202413218,1403.3335883204154,1489.1795197619495,1319.3141328486636,986.1695516859211,956.0797168812285,1234.521260878692,1095.4721556191535,955.4618834564435,839.6940189821246,1046.4241708472225,838.1151855990963,1016.9922256147323,841.0254778564089,844.4552063898393,754.9487199581561,,1101.9045176673114,801.9742408698787,806.2791849365792,
sepang_2016,1750.1328531037107,1264.7459449906714,1718.584718931718,1036.94198386183,1526.0953963311633,1532.2443048689975,1373.7549107842412,1203.0007499124479,1123.0083309174897,1290.9151611861446,1061.6090120235783,1045.692940144925,733.9040917375648,1018.6004275528297,1038.459428185295,846.3615304167844,835.3094717902983,1017.6775641249056,844.5487505868133,,912.3490859301197,944.8113205467411,841.938626422887,
suzuka_2016,1789.2755034006968,1395.8435161041182,1623.4463256544777,1241.1515885942754,1588.0512087070126,1515.3056918571158,1367.0496863227143,1201.0724172871721,1203.981950537905,1083.8949996112124,1151.7277312168346,950.638602822622,934.3950177139985,1030.0030203125275,918.9317231231888,919.2372613908246,790.9026080896316,1056.7770897304451,705.8094742503499,,807.2712182059767,946.101673899771,739.8182955182864,
americas_2016,1794.1258359104345,1531.13600720601,1637.993097526895,1363.8936089132496,1118.4504020566376,1109.4240359404403,1347.4094891894579,1046.7942854082917,912.2563266004328,1276.9680180572616,1260.8363012240682,1176.1471988642134,1075.9370089673412,1096.7812958827367,1086.9388232776741,1011.8602933577237,859.5178179801031,1048.4213494247224,762.1317684089353,,721.5881273451768,968.9233774671492,753.1521353422021,
rodriguez_2016,1792.4279544212554,1615.314891773278,1641.2892481627446,1410.3077165341888,1290.8695480671413,1244.4255768977766,1276.293715630819,1168.9610260552854,1116.1735976648504,1150.8185105472503,1248.3566509337898,1027.249890218987,886.0096074421717,952.8149862238591,1100.5864627396845,940.4596625087275,909.8334456135315,1034.1083146676958,665.7830640640065,,727.3749500408389,1071.9704786275638,689.2573055157108,
interlagos_2016,1794.0606639533376,1682.1555326679065,1505.8971260313992,1441.346580468384,1415.334796724738,959.8315891473678,1385.3648349767104,1166.5972475846436,1227.591401511872,1175.1094946832543,1009.9634529975312,1204.7770792065,740.4309639521535,1005.6469690699023,997.6255022725385,975.3524862331384,1077.850771829296,887.0637008526455,791.5279180389721,,773.5108126920975,858.676193660835,884.9714857959328,
yas_marina_2016,1795.92566551251,1734.6240043849775,1503.436797020718,1510.9069854595718,1467.2736265533997,1160.2979516645275,1347.4784948635877,889.0513066007155,1286.8758392052234,1189.6439381272226,1125.5656229668925,974.3222936948371,942.0464168399965,858.7133237847244,836.8867876952675,789.7308320399802,980.2814258259298,863.7334960369761,897.4861818148786,,945.0724832937906,894.8819962267946,966.4511347386353,
